code,fullname,firsname,lastname,MaritalStatus,Gender,YearlyIncome,Education,Occupation
11000,,Jon,Yang,M,M,90000,Bachelors,Professional
11001,,Eugene,Huang,S,M,60000,Bachelors,Professional
11002,,Ruben,Torres,M,M,60000,Bachelors,Professional
11003,,Christy,Zhu,S,F,70000,Bachelors,Professional
11004,,Elizabeth,Johnson,S,F,80000,Bachelors,Professional
11005,,Julio,Ruiz,S,M,70000,Bachelors,Professional
11006,,Janet,Alvarez,S,F,70000,Bachelors,Professional
11007,,Marco,Mehta,M,M,60000,Bachelors,Professional
11008,,Rob,Verhoff,S,F,60000,Bachelors,Professional
11009,,Shannon,Carlson,S,M,70000,Bachelors,Professional
11010,,Jacquelyn,Suarez,S,F,70000,Bachelors,Professional
11011,,Curtis,Lu,M,M,60000,Bachelors,Professional
11012,,Lauren,Walker,M,F,100000,Bachelors,Management
11013,,Ian,Jenkins,M,M,100000,Bachelors,Management
11014,,Sydney,Bennett,S,F,100000,Bachelors,Management
11015,,Chloe,Young,S,F,30000,Partial College,Skilled Manual
11016,,Wyatt,Hill,M,M,30000,Partial College,Skilled Manual
11017,,Shannon,Wang,S,F,20000,High School,Skilled Manual
11018,,Clarence,Rai,S,M,30000,Partial College,Clerical
11019,,Luke,Lal,S,M,40000,High School,Skilled Manual
11020,,Jordan,King,S,M,40000,High School,Skilled Manual
11021,,Destiny,Wilson,S,F,40000,Partial College,Skilled Manual
11022,,Ethan,Zhang,M,M,40000,Partial College,Skilled Manual
11023,,Seth,Edwards,M,M,40000,Partial College,Skilled Manual
11024,,Russell,Xie,M,M,60000,Partial College,Skilled Manual
11025,,Alejandro,Beck,M,M,10000,Partial High School,Clerical
11026,,Harold,Sai,S,M,30000,Partial College,Clerical
11027,,Jessie,Zhao,M,M,30000,Partial College,Clerical
11028,,Jill,Jimenez,M,F,30000,Partial College,Clerical
11029,,Jimmy,Moreno,M,M,30000,Partial College,Clerical
11030,,Bethany,Yuan,M,F,10000,Partial High School,Clerical
11031,,Theresa,Ramos,M,F,20000,High School,Skilled Manual
11032,,Denise,Stone,M,F,20000,High School,Skilled Manual
11033,,Jaime,Nath,M,M,20000,High School,Skilled Manual
11034,,Ebony,Gonzalez,M,F,20000,High School,Skilled Manual
11035,,Wendy,Dominguez,M,F,10000,Partial High School,Clerical
